id;hora;franja_horaria_id
1;6:00am - 7:00am;1
2;7:00am - 8:00am;1
3;8:00am - 9:00am;1
4;9:00am - 10:00am;1
5;10:00am - 11:00am;1
6;11:00am - 12:00pm;1
7;12:00pm - 1:00pm;1
8;1:00pm - 2:00pm;1
9;2:00pm - 3:00pm;2
10;3:00pm - 4:00pm;2
11;4:00pm - 5:00pm;2
12;5:00pm - 6:00pm;2
13;6:00pm - 7:00pm;2
14;7:00pm - 8:00pm;2
15;8:00pm - 9:00pm;2
16;9:00pm - 10:00pm;2
17;10:00pm - 11:00pm;3
18;11:00pm - 12:00am;3
19;12:00am - 1:00am;3
20;1:00am - 2:00am;3
21;2:00am - 3:00am;3
22;3:00am - 4:00am;3
23;4:00am - 5:00am;3
24;5:00am - 6:00am;3
