id;iniciales;nombre_documento;estado_tipo_documento
1;Bedfordshire Small S;hard drive;INACTIVO
2;Optimized;Home Loan Account Auto Loan Account UAE Dirham;INACTIVO
3;neural;Auto Loan Account ubiquitous Sleek Granite Fish;ACTIVO
4;PCI Bolivia;Cotton Regional platforms;ACTIVO
5;green TCP;European Unit of Account 17(E.U.A.-17);ACTIVO
6;Consultant auxiliary;Markets;INACTIVO
7;RSS;Sleek Concrete Computer Chicken alarm;ACTIVO
8;Cotton Burundi appli;Lights application Texas;INACTIVO
9;synthesizing program;connect;INACTIVO
10;parse Hat;Technician Small Wooden Bike;INACTIVO
